3588,76,1374
1222,76,152
1223,76,76
2827,76,1145
1872,76,152
1184,76,229
1185,76,152
1261,76,152
2329,76,381
3018,76,458
1795,76,76
2254,76,610
1908,76,305
2749,76,229
2635,76,229
1681,76,305
1260,76,152
1947,76,76
2061,76,229
1757,76,152
1756,76,152
1796,76,76
1681,76,152
2636,76,229
2061,76,305
2405,76,381
2635,76,381
1644,76,229
2710,76,458
3205,76,381
1681,76,305
1451,76,305
1336,76,152
1146,76,152
1222,76,152
1376,76,76
1718,76,229
1871,76,76
1605,76,152
1758,76,152
1642,76,229
1872,76,229
1833,76,76
2750,76,534
2253,76,76
2139,76,457
2176,76,305
2176,76,534
2292,76,305
2405,76,305
3056,76,763
3209,76,1070
1374,76,305
1414,76,229
1374,76,76
1261,76,229
1184,76,152
1223,152,152
1414,76,76
1756,76,229
1797,76,152
1872,76,229
1833,76,152
1757,76,152
1871,76,152
1758,76,305
2138,76,305
1835,76,458
1948,76,381
2405,76,458
2521,76,305
2445,76,839
2637,76,839
1374,76,229
1223,76,152
1452,76,152
1183,76,152
1297,76,152
1872,76,229
1759,76,152
1833,76,229
1756,76,152
1946,76,76
1758,76,76
2520,76,305
1987,76,305
2216,76,152
2024,76,305
2100,76,305
1795,76,305
2712,76,534
3553,76,763
1452,76,152
1758,76,152
1909,76,229
