4199,229,1297
1986,152,229
1910,76,76
1795,152,229
1795,152,229
3893,76,1679
1833,152,229
2329,305,381
1833,152,76
1833,76,152
1948,152,229
1833,152,152
1757,152,229
2521,305,229
3208,305,1221
2827,76,1145
1795,76,152
1681,76,229
1910,76,152
2750,76,839
1833,152,229
1910,152,152
1872,152,76
1910,152,76
2558,76,305
1833,152,229
1833,76,152
1948,152,152
1910,152,229
1872,305,229
2025,305,305
2712,305,610
1795,76,229
1833,76,152
2063,76,229
1833,76,229
1719,76,229
1795,76,229
1948,152,152
1910,152,152
1910,152,152
1910,152,76
1948,152,152
1872,76,152
1833,152,152
2063,305,152
2482,305,76
2521,76,229
2254,76,229
1795,152,152
1719,76,152
1795,76,152
1719,76,152
2025,229,229
1948,305,229
2367,152,229
1795,152,76
1795,76,152
1986,305,229
1948,305,229
2139,305,458
2978,229,534
2063,305,229
1795,152,152
4466,305,1755
4048,152,1678
3932,152,1602
3970,76,1679
2139,152,152
8883,3202,1295
7781,2820,914
7434,4192,837
9299,4344,457
7355,4729,457
8273,3660,533
8273,3879,457
6446,2288,838
9032,12844,608
16962,12165,684
4848,10805,763
17335,11324,532
4577,992,1221
15162,1297,1525
4352,992,686
4888,916,1907
3741,305,1068
4313,305,2440
4504,228,1145
4733,305,1373
3970,3819,1373
4084,305,1373
3971,305,1221
6906,533,2593
4542,229,1526
3512,229,763
4848,228,2281
7082,7381,2435
13208,991,2359
8350,2667,1981
10243,8377,2967
13143,8221,2436
11276,3657,2589
13061,5026,2816
7854,2821,2285
11005,8301,2056
10933,6628,2358
9837,3507,1828
14470,6549,6237
10324,3809,1752
15935,5485,609
9938,4039,2209
15289,4497,1066
9070,3655,456
9676,3279,533
6405,3050,762
10370,2593,457
8803,4649,455
9146,4497,533
7473,4424,609
16581,10640,532
8960,3280,533
8616,4558,533
4772,1297,1068
6748,5107,380
7739,4197,533
3513,1297,152
3817,304,1449
16474,12119,760
4770,1221,458
7943,1298,839
7027,305,2438
9638,10116,2129
12173,10277,988
6174,1374,2670
6525,1068,1602
6519,611,1372
8360,305,1143
4657,2213,1450
5688,152,2364
6868,763,3202
7663,4415,2815
4695,229,1755
4918,534,992
5757,2898,1068
5647,1676,2130
6146,229,1296
11090,762,2359
11547,457,2358
3855,381,1068
11081,5866,2284
12033,3809,1522
14426,305,2588
12871,5409,2512
11043,5028,1750
13240,6625,2892
11619,6021,457
13257,4796,1827
13181,6161,5396
13099,5176,1446
13975,4109,1295
9383,3736,1295
13023,4117,989
9184,11937,914
8426,8609,686
8384,4190,686
9295,3657,1676
7968,4194,915
8083,4420,533
10857,3885,1599
9226,4725,457
17000,12165,760
7895,2973,1142
12925,12165,684
14414,11490,456
17304,12008,532
8633,11029,609
8960,3660,457
2788,305,534
2978,152,839
2177,152,687
2139,305,152
2025,152,152
2025,152,76
1948,152,152
2025,152,229
1795,152,229
1833,152,229
1986,152,152
1833,152,229
1948,152,76
1910,152,152
2520,305,534
1910,76,229
1757,76,152
1948,76,152
1872,76,76
1910,76,152
1795,76,152
1872,76,152
1910,152,152
2025,152,152
1986,152,76
1948,152,152
2139,305,152
2522,305,534
2826,229,611
2254,76,305
1757,76,152
1833,76,76
1757,76,152
1719,76,229
1986,305,229
1795,152,229
1872,152,229
1872,152,152
1872,152,229
1872,152,229
1872,152,229
1872,152,152
1948,152,152
3056,382,687
1986,76,305
1872,76,305
1872,76,152
1872,76,76
2292,76,152
1719,76,152
2101,152,229
1833,152,229
1833,152,152
1833,152,229
2407,305,229
2063,305,229
2139,305,152
2942,305,992
2101,152,305
1833,152,229
2216,305,381
2445,305,381
1795,152,229
2063,305,152
1833,152,152
2025,152,152
2025,152,229
