3017,229,1602
1948,152,152
4542,229,1830
1872,152,229
2101,152,305
1833,152,152
1833,76,152
1833,229,152
1910,152,152
1757,152,229
1795,152,229
1719,152,229
1948,152,152
1795,152,152
2063,229,229
2520,305,305
2216,76,305
1719,76,229
2063,76,229
1986,152,76
4542,76,2365
2329,76,229
1833,76,229
1795,152,229
1986,152,152
2063,229,229
2329,76,229
2216,229,152
1795,76,152
1948,305,152
1757,152,152
2407,229,611
2826,76,839
1681,76,229
1681,76,229
1681,76,229
5456,458,1373
3628,763,687
3284,763,687
2253,152,305
2025,152,305
1948,76,152
2025,305,229
4201,229,2059
5955,305,2973
3970,152,1679
4046,152,1679
2215,152,381
2025,152,381
2635,76,610
2902,229,992
2062,152,305
2100,152,992
2482,76,992
2826,229,916
2940,152,992
2483,152,1298
2940,305,534
3970,229,1984
3054,152,1068
4353,152,1373
2978,152,1221
4237,76,1373
2558,152,229
2940,152,916
2216,76,839
4237,76,1908
5344,228,2670
4237,76,1755
2253,76,840
2253,152,152
2444,76,305
2711,305,305
1833,152,229
2635,152,76
2788,152,458
4123,76,458
2939,152,610
3092,152,229
1985,152,152
2367,152,152
1910,76,76
2330,76,229
1985,152,229
2025,152,229
2406,152,687
2025,76,305
4084,76,1984
4123,229,686
5075,152,2822
5304,76,2745
3474,305,1297
2100,76,1450
2940,76,992
1910,76,305
2826,76,763
2826,76,992
2826,76,992
2826,76,916
2406,76,76
2062,76,458
1833,76,229
2520,76,1221
1910,152,152
4084,76,1754
2748,152,229
1795,76,229
1872,76,152
1833,152,152
1795,152,152
1757,152,229
1872,76,152
2216,305,229
1910,76,305
1795,76,152
1795,76,152
1872,76,152
1910,76,76
1872,76,76
1872,152,152
1910,152,152
1910,152,76
1910,76,229
1948,152,152
2025,76,229
1948,152,229
2063,305,76
2444,305,458
1948,76,305
1795,76,229
1833,76,76
1795,76,76
1833,76,76
1872,76,229
1681,76,152
1719,76,229
1757,76,152
1833,152,152
1910,152,152
1948,229,229
2254,305,381
3284,76,763
1910,152,458
3360,305,916
2253,229,381
1910,152,305
