9871,4346,2666
6634,1981,3349
10590,4420,609
7212,1449,3356
9879,3660,609
9883,763,2898
10103,5028,3431
9196,4651,456
7975,1523,3812
8124,1526,2897
7657,1144,3584
7212,1068,3432
5611,1068,4342
5189,305,2136
6143,1220,2894
7619,5411,2364
8429,990,3584
13436,8529,3196
11614,6163,2056
13910,10205,1599
14901,5709,3956
10442,3431,2895
15973,8453,4029
16734,5785,2586
9832,3201,4114
14705,3428,3804
14775,4723,2585
11619,7986,2360
7094,4119,838
10103,6174,533
9497,3507,762
7628,3052,610
12190,7549,913
8998,5109,1219
9074,5032,457
6904,2975,686
10137,6476,1751
12195,6090,2892
10214,5331,685
4315,305,1068
11128,1450,3349
9943,1908,2515
8578,4117,686
4313,1527,1222
9089,687,1526
5993,1373,2211
4850,2594,1450
5075,305,2060
4998,305,1985
7784,229,2517
7857,228,2819
6751,992,2136
7428,992,3736
6031,305,2823
6525,2977,2364
5077,229,3582
7197,305,2518
8311,534,3890
8640,6473,1826
11657,5026,2892
13219,4495,2436
13224,4954,2815
9116,2821,1829
9493,2975,1752
14604,4188,1904
12289,8142,2054
14857,3960,3427
12315,4417,5252
10027,5640,1143
10980,2896,1372
9345,3353,686
9341,2822,610
7174,2822,457
7441,3051,1220
2865,152,152
